author,content,id,imdb_id,title,tmdb_id,url
Andres Gomez,Fantastic movie with a great touch of reality.,5267971019c295494f01b07d,47478,Shichinin no samurai,346,https://www.themoviedb.org/review/5267971019c295494f01b07d
Andres Gomez,"Great movie with superb performance from Kevin Spacey, well accompanied with the rest of the cast.",5677aa2dc3a368167c008496,114814,The Usual Suspects,629,https://www.themoviedb.org/review/5677aa2dc3a368167c008496
Per Gunnar Jonsson,"This movie is directed by Robert Rodriquez and has a screenplay by Quentin Tarantino who also has a role in the film. This is actually one of the first movies by Robert Rodriguez and Quentin Tarantino that I watched and from then on I pretty much became a fan of them both. So, when it came out on Blu-ray a while ago I had to get it for the collection of course.

When I and my dear wife first watched this movie we did not really know what it was all about. We thought it was just another robbery/criminal story and the first half of the movie it is indeed “just” a robbery/criminal story. It is a fairly violent one at that which should be no surprise given who it is that have their fingers in the movie.

Then half way into the movie everything goes wild when the vampires enter the scene. I remember going “what the f…” when I first saw it since I wasn’t really expecting it to be a vampire movie at all.

The movie is quite a rollercoaster ride which bears all the trademarks, in particular lots of bizarre violence, of the Rodriguez/Tarantino couple. Needless to say this is one of my favourite cult/bizarre movies.",50b1cb6e760ee3232900041f,116367,From Dusk Till Dawn,755,https://www.themoviedb.org/review/50b1cb6e760ee3232900041f
MoHA,"Although panned by most critics, Fair Game (1995) is not nearly as bad as some would lead you to believe... especially if it's taken purely at face value. Based on the novel of the same name by Paula Gosling, the story had previously been filmed as Cobra (1986) starring Sylvester Stallone. For all intents and purposes, Fair Game is a decent action movie, although overindulgent in most aspects (huge explosions, gratuitous boob shots of Cindy Crawford, nudity, a famous sex scene and one-note acting). The film was designed solely as a vehicle to capitalize on the enormous popularity of Cindy Crawford, the hottest Supermodel of the 1990's... and in that respect, it had enormous success. Fair Game has become a sort of Cult classic, based on the adoration for Crawford's sex appeal and a brief, early role by Salma Hayek. As far as her bad acting goes, Cindy Crawford said it best, taking the high road with ""Oh well, at least I tried."" Indeed, she deserves an ""A"" for effort.",55f38abc9251414e080015f4,113010,Fair Game,11859,https://www.themoviedb.org/review/55f38abc9251414e080015f4
John Chard,"Ovinaphobia in Wairarapa!

Black Sheep, written and directed by Jonathan King is a wonderfully kooky horror comedy filmed out of New Zealand. Premise is simple, genetic tampering by unstable farmer man-child type has produced psychotic zombie sheep who like to chow down on human flesh. If you are ""lucky"" to still be alive after being bitten, you turn into a human/sheep hybrid - who likes to chow down on human flesh! All inhabitants of this island are doomed unless three spunky young heroes in waiting can overcome monumental odds and save the day!

With effects done by Weta being no bad thing, Black Sheep is a whole bunch of popcorn munching fun. Many of the jokes aren't really surprising but they hit the mark because the comedy is drawn nice and broad. It helps as well that much of it carries a sense of mischievous depravity about it, while the snarky asides to scientists and tree hugging environmentalists shows King to have a semblance of world awareness about him. The cinematography (Richard Bluck) is gorgeous, capturing the magnificent landscapes as a backdrop to the ovine carnage, and Victoria Kelly's musical score is jovial supreme.

Nothing earth shattering here, so those horror/comedy fans who venture in for the first time expecting otherwise will be disappointed. However, at under 90 minutes in length King's movie never once sags in pace or gasp for new comedic air. It's a short sharp shocker of a rib tickler and well worthy of a look if in the requisite mood. 7/10",534e889ec3a368678200140b,779982,Black Sheep,3603,https://www.themoviedb.org/review/534e889ec3a368678200140b
talisencrw,"Being a huge fan of Al Pacino (from the likes of 'Heat', the 'Godfather' movies, and 'Dog Day Afternoon' especially) and having had a huge crush on Bridget Fonda ('Single White Female', anyone?) back in the day (Peter Fonda's famous daughter was named 85th sexiest star in film history, and Mrs. Danny Elfman hasn't been involved in film, unfortunately, since 2002), I was hugely disappointed in this film, especially since I had loved director Harold Becker's previous 'Sea of Love', which also starred Pacino. The first half was decent and involving, but it kind of slid off the rails, interest-wise for me, the rest of the way and got too talky and uninspired.

I don't really know if the problem was with the script or its direction. I know I'm not the greatest John Cusack fan in the world (I find he's much better in comedy, like his sister Joan), but he had pretty good co-stars, whose talents were basically wasted, in Martin Landau, Anthony Franciosa and Danny Aiello (these guys were BORN for these roles and films, so on paper, this should have really worked out well). I had always wondered why this film had bombed so miserably, and now I know why. In cases like this, more should have been done to alter the story arc, just some basic tweaks, to make it more suspenseful and/or (though I usually balk at such 'Hollywood' tendencies) some romantic tension (a beauty such as Fonda's was misused--they may as well have hired someone else). All in all, a wasted opportunity that's worth a look if you like dramas about corruption--just don't go in with big expectations, and don't bother with a rewatch.",570dc359c3a3680a300011de,115907,City Hall,11062,https://www.themoviedb.org/review/570dc359c3a3680a300011de
John Chard,"Mr. Angry channels aggression nicely...

True Story. All my friends are golfers, however, it's not a sport for me. I played with them once after they continued to badger me about it, at a par 4 hole I used a putter instead of a driver to get onto the green, literally just whacked it straight and hard, I holed in 3, much to my friend's consternation!!

The purpose of that story is why I enjoyed Happy Gilmore so much, it takes fun pot shots at the sport whilst daftly proclaiming that any dude can play in his own style. This is an absolutely no brain movie of course, with a plot as daft as it sounds - a failed/angry ice-hockey player takes up golf to earn money to save his granny's house from being repossessed - and of course he becomes a cause célèbre to the golfing curates.

Sandler has and always will be an acquired comedy taste, making this very much one for his fans only. And truth be told this is basic Sandler where he's shouty and sweary, and he certainly improved on a filmic level from this point on. So what you gonna do? I laughed a lot, but you see I'm a Sandler fan (though there are some films of his I positively hate), it cheered me up and sometimes that's all I want from one of his movies. 7/10",57a71c5f925141516a0019f3,116483,Happy Gilmore,9614,https://www.themoviedb.org/review/57a71c5f925141516a0019f3
Anton2k,"Being Scottish, this movie really does a good job at showing off the scenery in and around Scotland. The story line of this movie keeps you on the edge of your seat all the way through the movie. Mel Gibson does a really good job with the accent and plays a great role as William Wallace in the movie.

I cant help by want to stand up and shout FREEDOM! once the movie is finished. Could watched this movie another 1000 times and not get board of watching it. It's a must watch for any one who has not see it yet.",501c750a19c2950eb90036ea,112573,Braveheart,197,https://www.themoviedb.org/review/501c750a19c2950eb90036ea
Ian Beale,"**Social outcast with a mohawk goes nutzoid**

Porn obsessed loner, Travis Bickle, is a cabbie in New York. The story tells of his gradual descent into madness brought on by his inability to relate to those around him and a feeling of a lack of worth. Travis is essentially invisible - of no importance. Walton's self imposed isolation preferable to getting along with the scum around him. One day he decides to change all of that and become _a somebody_ by murdering a politician.

This _nobody_ with the superiority complex has gone off the rails, for certain and it can only lead to bloodshed. A lot of it will be his own.",58a197f9c3a36828a800310e,75314,Taxi Driver,103,https://www.themoviedb.org/review/58a197f9c3a36828a800310e
Dan_Tebasco,"**The Not So Amazing Panda Adventure (1995).**

I usually do enjoy these sort of cheesy animal and human buddy flicks of the 90's and 80's but this was mediocre at best.

The kid is a bit annoying and at least 35-40% of the shots of a panda is not a panda but superobvious that it's a fuzzy animatronics robot instead. Which is understandable, it's hard to make a Panda act I imagine but it does take away quite a bit from the film.

Kids probably won't notice as much though so if you got kids and want to get them out of your hair for 90 minutes I'm sure putting this on can do the trick still.",58f374b69251413d7601166d,112342,The Amazing Panda Adventure,30765,https://www.themoviedb.org/review/58f374b69251413d7601166d
John Chard,"A different direction brings differing results.

Batman takes on a new side kick as he fights to keep Gotham City out of the clutches of Two-Face and The Riddler.

""No thanks, I'll get drive-thru""

Thus these be the first words out of Val Kilmer's incarnation of Batman and thus setting the standard for what Joel Schumacher's two Batman movies would be like. Gone is the dark undertone from Tim Burton's visions, and the tight action sequences that marked Burton's debut out as a genuine genre piece of work, in their place comes sexy campery and ropey action set pieces. The casting of both Val Kilmer as Batman and Chris O'Donnell as Robin is a big mistake, Kilmer easily being the most boring actor to don the suit out of all of them, whilst O'Donnell simply can't act outside of Robin's cartoonery bravado. Nicole Kidman looks positively gorgeous as Chase Meridian, but that's all that is brought to the party, it's a waste of the very talented Kidman's ability and a waste of the audience's time.

It's not all bad though, a comic book adaptation is only as good as its villains, and here we get a perfectly cast Jim Carrey as The Riddler, and a wildly over the top Tommy Lee Jones as Two-Face. Carrey steals every scene he is in, it's almost too much, but as maniacal and exuberant as it is, it is the film's highlight and actually the film's saving grace (Tommy Lee Jones was reportedly unhappy from having his thunder stolen in the movie by Carrey). The script does work enough to make the story accessible to all ages, and there are enough crash bangs and wallops to entertain in that brain left at the door kind of way.

This was the biggest hit of 1995, so the paying public lapped it up and paved the way for another Schumacher film in the franchise, but with all that star power wasted, and nipples on the rubber suits, it's hard to see now why it was so popular back then. 5/10",53fe9f460e0a262deb003279,112462,Batman Forever,414,https://www.themoviedb.org/review/53fe9f460e0a262deb003279
talisencrw,"A wonderful parable of love, relationships and the place in both for fantasy and imagination. Certainly much more enjoyable to watch, not to mention better acted and directed, than recent delvings into that subject matter, like Lars von Trier's Nymphomaniac (though that wasn't the latter's point). Intensely beautifully photographed, with wonderful performances, most especially by Catherine Deneuve. You can't go wrong with 60's and 70's Bunuel, that's for sure.",56c10beac3a36817e400548b,61395,Belle de jour,649,https://www.themoviedb.org/review/56c10beac3a36817e400548b
talisencrw,"Spike Lee is an unfortunate instance of a very talented filmmaker who's
obvious talent in craftsmanship doesn't come across in contemporary
mainstream cinema because of issues having nothing to do with cinema
itself. I realize that in becoming great at anything in one's life,
other things have to suffer, and with him it seems, at least to me,
that for everything he has undoubtedly accomplished in the filmic
realm, it's created a type of 'idiot savant' (it's simply an existing
term--I certainly don't mean it pejoratively)--that is, in social
skills, at least pertaining to self-marketing, or getting across one's
persona in the field, he is lacking--and it negatively impacts his
cinema. And that's a dirty rotten shame, because this was a fine film.

He and his excellent approach to cinema remind me of the Heisenberg
principle and make me: a) wish Lee could find more happiness in his
life, so that he can come across better, and thus have his personality
not negatively influence cinephiles like me; and b) wonder, like in 'A
Beautiful Mind', if he was happier and more pleasant, if it would
negatively impact his filmmaking? Philosophical questions such as this tend to keep me up at night, unless I have some red wine, milk or chamomile tea to wear me out and soothe me.

'Clockers' worked for me. Keitel was really on a roll when he worked in this, with 'Bad Lieutenant', 'Reservoir Dogs', 'Pulp Fiction' and 'Smoke' all around this time. It was certainly a great vintage for him, and a fine time to sample his acting.",57130e7f92514141a5000773,112688,Clockers,20649,https://www.themoviedb.org/review/57130e7f92514141a5000773
Badlands1,"This is a criminally underrated gem, a urban movie about drug dealers that feels nothin like your typical gangsta movie, it doesn't have constant rap playing the whole way through, but a poignant classical soundtrack from Blanchard, Albeit still great 90's hip hop in it. The emotion and color of the sets are tangible. I wouldn't really call this a Spike Lee joint, because Scorsese produced it, it has a much more professional and serious feel than Spikes previous corny work. The 90's Brooklyn hip hop street reality feel is there but this film hits a much deeper note in the soul, skip the mainstream trailer, it might be the reason this failed in the mainstream, when it sours with true underground heads.",5982707d92514151e001fff2,112688,Clockers,20649,https://www.themoviedb.org/review/5982707d92514151e001fff2
John Chard,"A mutiny thriller that delivers the goods wholesale.

Russian rebels have seized one of their government's nuclear missile bases and are threatening to attack the U.S.A. A patrolling US nuclear submarine is ordered to fire, but almost straight afterwards an incomplete counter order brings uncertainty. The submarine Captain and the Executive Officer come into conflict as to which order to follow, and thus the subs crew are torn as to which officer is right or wrong.

Directed by Tony Scott, one could be forgiven for thinking that Crimson Tide would be an outlandish ball of explosions and slaughter, thankfully it isn't, as Scott gives us one of the best underwater thrillers going. Scintilating characters are cloaked in dynamic claustrophobia, and this coupled with the ever increasing unbearable tension, makes this a must see for fans of films that are scary because of what might happen, and not because of what many blockbuster film makers actually show you.

This is not a standard good vs evil plot piece, or even a good vs insane cretin film, this pitches old school stickler for the rules Captain Ramsey against the deep thinking common sense purveyor Lt Commander Ron Hunter. Ramsey believes that the completed order, which is basically to blast the Russians before they blast us type thing, should be followed, Hunter on the other hand feels that the second incomplete order must be clarified before any action is taken, because after all this could be nuclear war! The film then twists and turns as the sub is divided into two factions, mutiny is rife, but what will the outcome be? Can the radio be fixed to complete the order? Will it be too late? All these questions are tensely drawn out by Scott to get the maximum impact from what is an admittedly standard global crisis in waiting story.

No shortage of machismo here either, brutishly brilliant is how I find Gene Hackman in this, his Captain Ramsey is the quintessential leader of men. Then there is Denzel Washington as Ron Hunter, eloquently spoken and a voice of reason, his ruggedness coming to the fore as the submarine starts to implode. There are few better sights in 90s cinema than watching Hackman & Washington go at each other the way they do here, starting off as just a fractious relationship, it then explodes into a war of belief and wills. It's through these pair that the film's neutral stance shines bright, what would we do in similar circumstances? Who would we follow? Both men ethically right, yet both men accountable for probable disaster.

This is a wonderful picture, a lesson in tough tension building that is perfectly wrung out by a rousing Han Zimmer score, with the only weak point being a multi written script that tries to fuse pop culture references with technical lingo, something which doesn't quite sit right. However, even that can't hurt the excellently unfolding sequence of events that closes quite brilliantly with a written piece that all of us should take note of. 9/10",53fea0000e0a262de5003194,112740,Crimson Tide,8963,https://www.themoviedb.org/review/53fea0000e0a262de5003194
talisencrw,"Probably my favourite Tony Scott film, amidst stiff competition. The acting of both Hackman and Washington, plus the fine supporting cast, is top-drawer, and Scott keeps the suspense up, the film's as tight as a drum. It's rumoured that there were plenty of script doctors, including Quentin Tarantino, but that's no crime--especially when it works. One of my favourite submarine films--it's up there in my books with 'Destination Tokyo' (I haven't seen my DVD of 'Das Boot' yet). It's a great shame that Scott decided to take his life a few years back. He was a much better director than I used to give him credit for. I guess it's true that we don't realize just how good people are until they're gone. This film's essential for war film enthusiasts or those who enjoy suspense films or thrillers: It wouldn't be out of place in the oeuvres of, say, Sir Alfred Hitchcock or David Fincher, and would make a great double-bill with 'Lifeboat' or 'They Were Expendable'.",5736647ac3a3687e1a0011bd,112740,Crimson Tide,8963,https://www.themoviedb.org/review/5736647ac3a3687e1a0011bd
talisencrw,"This was a solid and highly enjoyable take on the spaghetti western by Rodriguez that rightfully put the director on the map and provided star Antonio Banderas the breakthrough he needed in the American marketplace. Though I love his work on the Sin City films, particularly the first, his incredible earlier trilogy will always hold a special place in my cinephilic heart.

My recent project of coming to terms with classic Westerns has only further helped me enjoy these more recent contemporary releases.",579bad63c3a3681584000d0b,112851,Desperado,8068,https://www.themoviedb.org/review/579bad63c3a3681584000d0b
John Chard,"Everyone was peeing on my head and telling me it's raining.

Devil in a Blue Dress is written and directed by Carl Franklin, who adapts from the book written by Walter Mosley. It stars Denzel Washington, Tom Sizemore, Jennifer Beals, Don Cheadle and Maury Chaykin. Music is by Elmer Bernstein and cinematography by Tak Fujimoto.

Carl Franklin had already laid down a considerable neo-noir marker with his searing 1992 thriller One False Move, here he goes more traditional but garners equally impressive results. Plot has Washington as a WW2 veteran who has lost his job and desperately needs money to keep hold of his pride and joy - his house. Taking on a job offered by shifty DeWitt Albright (Sizemore), to find a missing woman, Rawlings quickly finds himself in up to his neck in murder and deception, he must turn ace detective to save his skin.

Set in late 1940s Los Angeles, what instantly stands out is the period detail. The clothes, the cars and the establishments frequented by Easy and company. With voice over narration also provided by Washington, in dry and sardonic tones, it's every inch a loving ode to the film noir movies released at the time the pic is set. There's plenty of neon signs about the place, some bad ass cops, good sex, brandy and sharp suits, smoking and coolness and of course a psychopath in the classic mould (Cheadle excellent).

But of course noir dressage is only that if you haven't got a good pot boiling plot, thankfully this has one. The story takes unexpected turns, always remaining interesting, the distinctive characterisations breathing heavy, managing to off set the run of the mill stereotypes in the supporting ranks. It can be argued that Beals as the titular femme fatale of the title is under written, but the character comes with an air of mystery that serves Franklin's atmosphere very well. Tech credits are high, something of a given with Bernstein and Fujimoto on the list, while Washington turns in another classy show of subtlety and believability.

Lovers of film noir should get much rewards from Devil in a Blue Dress. 7.5/10",564e62e99251414af9000cf5,112857,Devil in a Blue Dress,8512,https://www.themoviedb.org/review/564e62e99251414af9000cf5
talisencrw,"With this having been the first DH film I ever watched (and the only one so far I have seen upon its original theatrical release), I hold a quiet sense of satisfaction that over time it seems to have become generally people's favourite of the series, next to the original. It is much more original than its predecessor, and has much higher-caliber supporting players in Jeremy Irons and Samuel L. Jackson--not to mention the best director the franchise has ever had.

This was great to see once again, and I STILL have nightmares with that wicked Katya (played by composer Sam Phillips) slicing my head off...",57af88cdc3a36821a5006f92,112864,Die Hard: With a Vengeance,1572,https://www.themoviedb.org/review/57af88cdc3a36821a5006f92
